SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q480101,Q480102,Q480103,Q480104,Q480105,Q480106,Q480107,Q480108,Q490101,Q490102,Q490103,Q490104,Q490105,Q490106,Q490107,Q490108
2,2,38,8,2,5,5,1,1,2017,1, ,2000,1, ,3,2,6, , , , , ,2,2,1,2,2,2,2,1
3,1,46,10,2,4,13,2,1,2016,3, ,2000,1, ,4,3,6,7, , , , ,2,2,1,1,2,1,2,1
3,1,39,1,2,4,5,5,1,2018,1, ,2000,1, ,3, , , , , , , ,1,2,1,1,2,1,2,1
5,1,55,2,2,5,6,3,2,2018,3, ,2000,1, ,5,7, , , , , , ,1,1,1,2,2,1,2,1
4,1,55,5,97,7,10,7,1,2017,3, ,2000,3, ,98, , , , , , , ,1,2,1,2,2,2,2,1
1,1,43,8,2,4,6,5,1,2015,1, ,2000,3, ,2,7,5,3, , , , ,2,2,1,2,1,2,2,2
98,1,63,15,2,7,8,4,1,2013,1, ,3000,1, ,1,5,3,7,6,4, , ,2,2,2,1,2,2,2,1
98,1,35,15,1,1,4,4,1,2023,5, , , , ,3,5, , , , , , ,1,1,1,2,2,2,2,1
98,2,37,2,2,2,10,7,2,2023,1, ,2000,3, ,98, , , , , , , ,2,2,1,1,1,1,2,1
98,1,36,8,2,2,13,3,2,2023,1, ,2000,1, ,7,3,5, , , , , ,2,2,1,2,1,1,1,2
3,1,53,8,2,6,5,5,1,2013,3, ,2000,1, ,3, , , , , , , ,1,2,1,2,2,2,2,1
98,2,51,8,97,6,9,2,2,2023,3, ,2000,3, ,3,7,2,5, , , , ,2,2,1,2,2,2,2,1
98,1,51,8,1,1,99,99,1,2014,3, ,2000,3, ,6,2,5,7,3, , , ,1,2,1,2,2,1,2,1
5,1,62,4,2,6,5,3,1,2013,3, ,2000,1, ,2, , , , , , , ,1,1,2,2,2,2,2,1
3,1,49,7,2,6,6,6,2,2019,3, ,2000,3, ,5, , , , , , , ,1,2,2,2,2,2,2,2
98,1,71,3,2,7,4,4,1,2013,1, ,3600,3, ,4,3,7,5, , , , ,1,2,1,2,2,1,2,2
98,1,46,8,2,5,8,7,1,2020,1, ,2300,3, ,4,2,3,5, , , , ,1,2,1,1,1,1,2,2
98,1,47,8,2,4,5,4,2,2023,3, ,2000,1, ,3, , , , , , , ,1,2,2,2,2,2,2,2
5,1,52,1,2,6,5,3,1,2015,1, ,1000, ,5,2,5,3, , , , , ,2,1,2,2,2,2,2,1
98,2,47,1,2,3,10,4,1,2017,4,1,2500,1, ,2,3,5, , , , , ,2,2,1,2,2,1,2,1
5,1,32,2,1,6,8,2,2,2023,3, ,2000,3, ,3, , , , , , , ,2,2,2,2,1,2,1,1
98,1,60,15,2,6,1,1,1,2024,1, ,1600,1, ,2,7,5,3, , , , ,1,2,2,2,2,2,2,1
98,1,54,15,2,6,11,3,2,2021,4,1,2000,1, ,5, , , , , , , ,1,2,1,2,2,2,2,1
98,1,55,12,2,6,10,6,1,2021,5, , , , ,4,3, , , , , , ,1,2,1,2,2,1,2,1
1,1,44,8,2,4,8,3,1,2018,3, ,2000,1, ,3, , , , , , , ,2,2,1,2,2,2,2,1
98,1,65,8,2,7,11,7,1,2023,3, ,2200,1,5,3,5, , , , , , ,1,2,2,2,2,2,2,1
98,2,51,14,2,6,7,2,2,2023,3, ,2000,1, ,3,2, , , , , , ,1,2,2,2,2,2,2,1
2,1,50,9,2,3,5,5,1,2021,3, ,2000,1, ,5,3,7, , , , , ,1,2,2,2,2,2,2,1
4,1,73,9,2,7,7,7,1,2013,3, ,2000,1, ,4,3,5, , , , , ,2,2,1,2,2,2,1,1
98,1,66,14,2,6,7,3,1,2019,5, , , , ,1,4,8,5,3, , , ,1,2,1,2,2,2,2,1
98,2,63,8,97,6,3,3,1,2018,3, ,2000,1, ,7,5,3, , , , , ,2,2,1,2,2,2,2,1
98,1,47,15,2,5,6,3,2,2024,1, ,5001,3, ,8,2,6,1,3, , , ,2,1,2,1,2,2,1,1
98,1,66,1,2,6,10,10,2,2023,1, ,2000,3, ,7,5,3,2, , , , ,2,2,1,2,1,1,2,1
5,1,61,11,2,7,7,4,2,2022,3, ,2000,1, ,98, , , , , , , ,1,2,2,2,2,2,2,1
98,1,73,1,2,7,7,5,1,2020,4,2,2000,3, ,7,2,3, , , , , ,1,2,1,2,2,1,2,1
4,1,73,8,2,7,5,5,1,2014,1, ,2400,1, ,6,5,7,8, , , , ,2,2,2,2,2,1,2,1
98,1,70,8,2,7,3,3,2,2018,1, ,3500,1, ,6,5,2,3, , , , ,1,2,2,1,2,2,2,1
4,1,47,13,2,5,4,2,2,2022,2, ,2000, , ,2,3,6,5, , , , ,1,2,2,1,2,2,2,1
98,1,53,1,2,6,5,5,1,2019,5, , , , ,5,2,3, , , , , ,1,2,1,2,2,2,2,1
2,1,50,1,2,5,8,4,1,2013,3, ,2000,3, ,2, , , , , , , ,1,2,2,2,2,2,2,1
2,1,43,8,1,6,10,5,1,2016,3, ,2000,1, ,5,3, , , , , , ,2,2,1,1,2,1,1,1
3,2,27,1,1,6,11,4,2,2021,1, ,2000,1, ,3,7, , , , , , ,2,2,1,1,1,1,2,1
4,1,36,1,1,6,5,3,2,2022,1, ,1600,1, ,4, , , , , , , ,2,2,1,2,1,2,1,1
5,1,43,15,2,5,11,6,1,2017,3, ,2000,1, ,2,3, , , , , , ,2,2,1,1,1,1,1,1
98,1,47,2,2,5,11,7,2,2021,1, ,2000,1, ,3,1,2,5, , , , ,2,2,1,2,2,2,2,1
1,1,49,8,2,3,11,8,2,2014,1, ,3000,1, ,7,2,5, , , , , ,2,2,2,2,1,2,2,1
98,2,49,15,2,6,7,3,2,2019,3, ,2000,1, ,3,5, , , , , , ,1,2,1,2,2,1,2,1
3,1,56,13,2,7,13,5,2,2021,3, ,2000,1, ,7,2,4,3, , , , ,1,2,1,1,1,2,2,2
2,1,55,8,97,6,6,6,2,2019,1, ,3600,1, ,7, , , , , , , ,1,2,1,1,1,2,1,1
4,1,61,12,2,7,7,4,1,2014,3, ,2000,1, ,2,6,3, , , , , ,2,2,1,1,2,1,2,1
4,1,56,8,2,3,5,4,1,2019,1, ,1000, , ,5,6, , , , , , ,1,2,1,2,2,1,2,2
98,1,48,14,2,5,5,4,2,2024,4,1,2500,1, ,3, , , , , , , ,1,2,1,2,2,2,2,1
98,1,54,9,2,6,11,10,1,2021,3, ,2200,3, ,7,3, , , , , , ,1,2,1,1,2,1,2,2
5,1,32,8,1,1,6,6,2,2021,3, ,2000,1, ,2,3,6,7,5, , , ,2,1,1,2,2,2,2,1
4,1,53,3,2,5,10,7,1,2013,3, ,2200,1, ,2,3,7, , , , , ,2,1,1,2,2,1,2,1
98,1,53,4,2,6,4,2,2,2023,1, ,4200,3, ,7,1,5,3, , , , ,1,2,1,2,2,1,1,2
3,1,70,8,2,6,5,5,1,2019,1, ,2000,3, ,7, , , , , , , ,1,2,2,2,2,1,1,1
5,1,51,15,2,5,13,11,1,2016,4,1,2500,1, ,4,6,3,5,8,7,1, ,1,2,1,2,2,1,2,1
5,1,51,8,2,3,10,7,2,2021,1, ,2000,3, ,3,1,5,7, , , , ,1,2,1,2,2,2,2,1
1,1,45,1,2,5,6,1,1,2019,3, ,2000,1, ,3,7,5,2, , , , ,1,2,2,2,1,2,1,1
3,1,43,2,2,5,7,5,1,2017,3, ,2000,1, ,7,3, , , , , , ,2,2,1,2,2,1,2,1
4,1,45,8,2,5,3,3,1,2023,1, ,3500,1, ,1, , , , , , , ,2,1,2,2,2,1,2,1
98,2,41,10,1,1,4,4,1,2023,1, ,1300,1, ,98, , , , , , , ,1,2,1,1,2,2,2,1
2,2,48,8,2,5,11,98,1,2014,3, ,2000,1, ,7,4,3,1,8, , , ,1,2,1,1,1,1,2,1
1,1,60,1,2,6,5,2,2,2020,3, ,1600,1, ,6, , , , , , , ,1,1,2,1,1,1,2,1
4,1,44,8,2,2,7,3,2,2018,3, ,2000,1, ,2, , , , , , , ,1,2,1,2,2,2,1,2
1,1,41,4,97,1,6,6,1,2019,1, ,1500,1, ,4,3,5,6, , , , ,1,2,1,2,2,1,2,1
98,1,35,4,1,6,10,6,2,2023,3, ,2000,1, ,6,5,3, , , , , ,2,2,1,2,2,1,1,1
5,1,55,1,2,5,9,4,1,2018,1, ,2300,3, ,4,3,2,5, , , , ,1,2,1,1,2,1,2,1
98,1,42,6,1,1,5,5,2,2021,1, ,1500,1, ,7,2,3,4, , , , ,1,2,2,2,2,2,1,1
5,1,58,1,2,5,10,10,2,2021,3, ,3000,1, ,5, , , , , , , ,2,1,1,2,2,1,2,1
3,1,62,1,2,6,5,5,2,2014,1, ,2500,1, ,5,2,7,3, , , , ,1,1,2,2,2,2,2,1
5,1,49,8,2,4,9,9,1,2018,1, ,2000,1, ,3,5, , , , , , ,2,2,1,2,2,2,2,1
98,2,37,2,1,1,5,5,2,2021,3, ,2200,1, ,98, , , , , , , ,2,2,2,2,2,2,2,1
98,1,41,8,2,4,12,11,1,2024,1, ,3000,2, ,2,3, , , , , , ,1,2,1,1,2,1,1,1
3,1,44,1,2,4,11,8,1,2019,3, ,2000,1, ,7,6,4, , , , , ,2,2,1,2,1,1,1,2
98,1,57,10,2,6,5,3,1,2020,3, ,2200,2,5,3,5,2, , , , , ,1,2,1,2,2,2,2,1
2,1,55,1,2,5,6,6,1,2016,1, ,2300,3, ,3, , , , , , , ,2,2,1,2,2,2,2,1
98,1,62,8,97,6,4,4,1,2018,4,1,2500,1, ,2,3,5, , , , , ,1,2,1,2,2,1,2,1
2,1,55,15,97,6,8,5,2,2020,3, ,3000,3, ,2,4, , , , , , ,1,2,1,2,2,2,2,1
4,2,52,8,2,6,3,98,1,2015,3, ,2000,1,7,3,5,2, , , , , ,1,2,2,2,2,2,2,1
98,2,43,1,1,1,4,4,1,2020,1, ,2000,1, ,3,7, , , , , , ,1,2,2,2,1,1,1,2
5,1,59,4,2,5,11,7,1,2015,3, ,2500,3, ,7,5,3,4, , , , ,1,2,1,1,2,2,2,1
98,1,38,12,97,4,10,7,2,2024,1, ,3000,3, ,2, , , , , , , ,1,2,1,2,2,1,1,1
98,1,37,7,1,1,3,3,2,2017,1, ,2400,1, ,7,2,5,3, , , , ,1,2,1,2,2,1,2,1
3,1,47,1,2,4,12,11,1,2020,3, ,2000,3, ,5,3, , , , , , ,1,2,1,2,1,2,2,1
98,1,51,4,2,5,8,6,1,2019,1, ,2500,1, ,6,3,7,2,5, , , ,1,2,1,2,2,2,2,1
98,1,32,1,1,1,10,10,1,2024,5, , , , ,2, , , , , , , ,1,2,1,1,1,1,2,1
4,2,57,8,2,6,13,10,1,2019,1, ,2000,1, ,5,6,3,8, , , , ,1,2,1,1,2,1,2,1
98,1,52,8,2,5,7,5,1,2017,1, ,2500,1, ,1, , , , , , , ,2,1,1,2,1,2,2,1
98,1,64,1,2,6,11,8,2,2024,4,2,2500,3, ,3,4,5,2, , , , ,2,2,1,2,2,1,2,1
3,1,63,4,2,3,13,10,1,2020,1, ,2000,1, ,4,2,5, , , , , ,1,2,1,2,2,1,2,1
98,1,48,3,2,5,11,7,1,2019,1, ,2500,1, ,5,4,7,2,3, , , ,1,2,1,2,2,1,2,1
98,1,39,8,2,5,5,4,1,2021,4,2,2000,3, ,2,3,5, , , , , ,2,2,1,2,2,2,2,1
4,2,47,4,97,1,6,6,1,2013,1, ,2500,1, ,3,5,4,6, , , , ,1,1,1,1,2,2,2,1
2,2,57,1,2,6,11,9,1,2020,4,1,3000,1, ,5,2,3, , , , , ,1,2,1,1,2,2,2,1
5,1,48,8,2,5,99,99,1,2019,1, ,2000,3, ,5,7,2, , , , , ,1,1,2,1,2,2,1,1
98,1,33,2,1,6,9,4,2,2023,3, ,2000,1, ,5,2,3, , , , , ,1,2,1,1,2,1,1,1
5,1,59,8,2,6,11,8,1,2017,4,1,2000,1, ,5,4,7, , , , , ,1,2,1,2,2,2,2,1
98,2,42,4,2,5,8,2,2,2023,3, ,2000,1, ,5,2,3, , , , , ,1,2,1,2,2,2,2,1
3,1,37,8,2,4,5,5,2,2015,3, ,1600,1, ,7,6,5,2,3, , , ,1,2,1,2,2,2,2,2
4,1,49,8,1,1,4,4,1,2013,1, ,2000,3, ,2,3,5, , , , , ,1,2,2,1,2,1,2,2
5,1,50,6,2,5,8,8,1,2018,1, ,2000,3, ,3, , , , , , , ,2,2,1,2,2,1,2,1
5,2,50,1,2,5,8,4,1,2024,1, ,1500,1, ,7,6,2, , , , , ,2,2,1,2,1,1,2,1
4,1,57,3,2,7,6,4,1,2022,1, ,2000, , ,2,5, , , , , , ,2,2,2,2,1,2,2,1
3,2,30,1,2,2,7,3,1,2021,1, ,1600, , ,3,2,7, , , , , ,1,2,1,1,1,2,2,2
98,1,59,8,2,6,13,12,1,2018,1, ,2000,3, ,5, , , , , , , ,1,2,1,2,2,1,2,1
98,2,48,1,2,6,9,4,1,2020,1, ,2000,1, ,2,5,3,7, , , , ,2,2,2,2,1,2,2,2
4,1,45,8,2,4,13,11,1,2024,4,1,1600,1, ,4, , , , , , , ,1,2,2,1,2,2,2,1
98,1,56,8,2,6,3,98,1,2019,1, ,2700,3, ,7,3, , , , , , ,1,2,1,1,2,1,2,2
98,1,56,8,97,1,10,10,1,2023,1, ,2500,1, ,1,6,2,7,3, , , ,1,2,1,2,1,1,2,1
98,1,37,8,2,2,8,8,1,2020,3, ,2000,1, ,2,3, , , , , , ,1,1,1,2,2,1,2,2
98,1,30,1,1,6,10,2,2,2023,1, ,1000, ,5,7,5,3, , , , , ,1,2,1,2,1,2,2,2
98,1,62,6,2,6,5,2,1,2016,3, ,2000,1, ,4,8,7,5,2,3,6, ,1,2,1,2,2,1,1,1
2,2,59,2,2,6,3,3,1,2018,4,1,2000,1, ,5, , , , , , , ,1,2,2,2,2,2,2,1
98,1,72,1,2,7,1,1,1,2013,3, ,2000,1, ,2,3, , , , , , ,1,2,2,2,2,2,2,1
98,1,43,1,2,5,13,13,1,2021,1, ,1800,3, ,5, , , , , , , ,1,1,1,2,2,2,1,1
98,1,50,8,2,6,11,7,1,2021,1, ,3000,2, ,3, , , , , , , ,1,2,2,2,2,1,1,1
3,1,48,4,97,1,6,6,2,2023,1, ,2500,1, ,5,2,3, , , , , ,2,2,1,2,2,1,1,1
5,1,38,8,2,4,8,4,1,2024,1, ,2000,3, ,2, , , , , , , ,2,2,1,2,2,1,2,1
2,1,47,8,2,5,10,7,1,2019,1, ,2300,3, ,3,7, , , , , , ,2,2,1,2,2,1,2,1
3,1,48,3,2,5,13,13,1,2020,3, ,2500,3, ,7,3, , , , , , ,2,2,1,2,1,1,2,1
2,1,59,4,2,6,12,11,1,2020,3, ,2000,1, ,1, , , , , , , ,2,2,1,2,1,1,2,2
98,1,43,8,2,5,6,4,2,2024,1, ,2300,3, ,5,4,3, , , , , ,1,2,1,1,2,2,2,1
4,1,53,12,2,6,5,3,1,2016,1, ,2000,1, ,4,5, , , , , , ,1,2,1,1,2,2,2,1
1,1,50,1,2,6,11,10,1,2020,3, ,1600,1, ,5,4, , , , , , ,1,1,2,2,2,2,2,1
98,1,58,8,2,6,11,8,1,2015,3, ,2000,3, ,2, , , , , , , ,1,2,2,1,2,2,2,1
1,1,54,8,2,5,10,5,1,2021,1, ,3000,3, ,6,7,3,5, , , , ,1,2,1,2,2,2,2,1
98,1,61,13,2,2,4,3,2,2016,3, ,2300,2, ,5, , , , , , , ,1,1,2,1,1,2,2,1
98,1,47,8,2,5,6,6,1,2017,3, ,3000,3, ,3,2,5, , , , , ,1,2,1,1,2,1,2,1
98,1,70,7,2,7,99,98,1,2016,1, ,3500,3, ,7,2,5, , , , , ,2,2,1,1,2,2,2,1
5,2,61,8,2,7,11,4,1,2023,1, ,4000,2, ,3,5,4, , , , , ,2,2,1,2,2,1,2,2
4,2,30,3,1,1,3,3,1,2021,1, ,3000,3, ,8, , , , , , , ,2,2,1,1,2,1,2,1
2,1,43,7,2,5,8,8,2,2021,1, ,2000,1, ,5,2,3, , , , , ,1,2,1,2,2,2,2,1
98,1,34,10,1,1,4,4,2,2022,3, ,1800,3, ,1,5, , , , , , ,1,1,1,1,1,2,2,1
2,1,39,5,2,5,13,12,1,2018,3, ,3000,3, ,4,6, , , , , , ,1,2,1,2,2,1,1,2
98,1,40,1,2,4,11,10,2,2024,3, ,2000,1, ,3, , , , , , , ,2,2,2,2,2,1,1,1
98,1,31,4,1,1,8,8,2,2022,1, ,3000,3, ,3,7,4,5, , , , ,2,2,1,2,1,1,1,2
98,1,54,15,97,1,2,2,2,2019,1, ,4000,1, ,3,7, , , , , , ,1,2,2,2,1,1,1,2
98,1,46,3,2,5,5,4,1,2024,4,1,1600,1,7,5, , , , , , , ,2,1,2,1,2,2,2,2
5,1,59,1,2,6,13,13,1,2021,1, ,2000,3, ,3,2,1,4,7,5,8, ,1,2,1,1,1,1,2,2
5,1,48,3,2,5,8,4,1,2018,3, ,2000,3, ,2,3, , , , , , ,1,2,2,2,2,2,2,1
98,1,37,1,1,1,13,13,1,2020,1, ,3800,1, ,2,7,5,6,3, , , ,2,2,1,1,1,1,2,2
3,1,56,9,2,6,10,10,1,2020,1, ,2000,1, ,6,7, , , , , , ,2,2,2,2,2,1,1,1
5,1,42,1,2,3,5,4,2,2016,3, ,2000,1, ,2, , , , , , , ,2,2,1,2,2,2,2,1
4,1,38,1,1,1,8,8,1,2014,3, ,2000,1, ,2, , , , , , , ,1,2,1,2,2,2,1,1
98,1,43,3,2,4,6,5,1,2023,1, ,2000,3, ,2, , , , , , , ,1,2,1,2,1,1,1,2
3,1,43,15,2,5,9,7,1,2018,3, ,2000,1, ,6, , , , , , , ,1,2,1,2,2,1,2,1
98,1,45,8,1,1,3,3,2,2023,1, ,1500,1, ,5,1,7, , , , , ,1,2,1,2,1,1,2,2
98,1,47,8,2,4,6,4,1,2021,3, ,2000,1, ,2, , , , , , , ,1,2,1,2,2,2,2,2
98,1,36,1,2,2,8,3,1,2017,1, ,2400,1, ,6,7,4, , , , , ,2,2,2,2,1,1,2,2
5,1,63,8,97,6,7,3,1,2019,1, ,2400,3, ,3,7,5, , , , , ,1,2,2,1,1,2,2,1
1,1,45,3,2,5,10,10,1,2014,3, ,2000,1, ,5, , , , , , , ,1,2,1,2,1,2,1,1
1,1,50,15,1,1,11,11,2,2016,1, ,2000,3, ,3,7,8,5,4,6, , ,1,1,1,1,2,2,2,1
98,1,38,1,2,3,10,6,2,2019,1, ,2000,3, ,5,4,1,7, , , , ,2,2,1,2,1,1,2,2
98,1,34,11,2,4,5,3,1,2018,1, ,2400,1, ,4, , , , , , , ,2,2,1,2,2,2,2,1
3,1,38,2,2,4,6,3,1,2021,5, , , , ,2, , , , , , , ,1,2,2,2,1,2,2,1
3,1,40,1,2,4,6,4,1,2018,4,2,2000,3, ,3,5,6, , , , , ,1,2,1,2,1,1,2,2
4,1,50,1,2,6,11,7,1,2023,1, ,2000,1, ,5,1,7, , , , , ,2,2,1,1,2,2,2,1
5,2,41,1,1,5,4,2,1,2014,1, ,1800,1, ,5, , , , , , , ,2,1,2,2,2,2,2,1
1,1,49,1,2,3,11,9,1,2016,3, ,2000,3, ,3, , , , , , , ,1,2,1,2,2,1,2,1
1,2,52,15,2,6,10,5,1,2014,1, ,3500,1, ,2,4,7,1,3, , , ,1,2,1,1,1,1,2,1
3,1,56,7,2,6,3,99,1,2014,1, ,2000,3, ,5, , , , , , , ,1,2,1,2,2,1,2,1
3,1,38,1,2,2,6,4,2,2023,3, ,2000,1, ,3, , , , , , , ,1,1,1,1,2,2,2,1
5,2,42,8,2,2,6,3,1,2019,1, ,2000,1, ,6,7,5,2,3, , , ,2,2,1,1,1,2,2,1
3,1,35,2,1,6,12,3,1,2018,1, ,2400,1, ,3,4,5,7,1, , , ,1,2,1,2,2,1,1,2
98,1,58,8,2,5,6,5,1,2021,3, ,3000,3, ,1,8,5,4,2,7,3, ,1,2,1,2,2,2,1,2
98,1,49,5,2,5,4,2,1,2018,4,1,2500,1, ,5,2, , , , , , ,1,2,1,2,2,2,2,1
98,1,58,8,97,5,3,99,2,2017,1, ,3500,1, ,5,3, , , , , , ,1,1,2,2,2,2,1,2
4,1,43,2,1,1,10,10,1,2020,5, , , , ,8,4, , , , , , ,2,2,1,1,2,1,2,1
4,1,47,8,2,5,11,7,2,2023,1, ,5000,1, ,3,2, , , , , , ,1,2,1,2,2,2,2,1
4,1,41,12,2,4,3,3,2,2023,3, ,2000,1, ,3, , , , , , , ,1,2,2,1,1,2,2,1
98,1,40,1,2,3,10,7,2,2018,1, ,2000,1, ,3, , , , , , , ,1,2,2,2,1,1,2,1
98,1,39,8,2,2,7,4,2,2022,3, ,2000,1, ,2,5, , , , , , ,1,2,2,2,2,1,1,2
5,1,65,2,2,6,9,9,2,2023,3, ,3000,3, ,7,5,3, , , , , ,1,2,1,2,2,1,1,2
98,1,46,9,1,1,6,6,1,2018,1, ,1000, ,5,4, , , , , , , ,1,2,1,1,2,1,2,1
98,1,56,14,2,7,8,4,2,2024,1, ,2000,1, ,8, , , , , , , ,1,2,1,1,2,1,2,1
5,1,63,8,2,7,5,5,1,2017,1, ,2500,1, ,2, , , , , , , ,1,2,2,2,2,2,2,1
98,1,38,1,2,5,3,2,1,2013,3, ,2000,1, ,4,7,2, , , , , ,2,2,1,1,2,2,2,1
4,1,50,8,97,5,6,6,1,2015,3, ,2000,1, ,1,3,5, , , , , ,1,2,1,1,2,2,2,2
1,1,63,1,2,6,10,5,1,2013,3, ,2200,3, ,7,4,6,3, , , , ,2,2,1,1,1,1,2,1
98,2,27,3,1,1,5,5,1,2019,1, ,1500,1, ,5,1,7, , , , , ,2,2,1,2,1,1,1,1
4,1,50,8,2,5,8,8,2,2018,3, ,3000,3, ,5,4, , , , , , ,2,2,1,1,2,1,1,1
98,1,32,10,1,5,6,3,1,2020,3, ,2000,3, ,1, , , , , , , ,2,1,1,2,1,2,1,1
98,1,69,8,2,7,2,2,1,2016,3, ,2200,1, ,3, , , , , , , ,1,2,2,1,2,1,2,1
2,2,34,13,2,4,4,98,1,2018,1, ,2000,1, ,3,2,6,4,7, , , ,1,2,1,2,1,2,2,1
3,1,53,2,2,6,8,4,1,2018,4,1,2500,1, ,5,3,7, , , , , ,1,2,1,2,2,2,2,2
98,1,42,8,2,5,13,11,1,2018,4,1,3500,3, ,7,5,3, , , , , ,2,2,1,1,2,1,2,2
3,1,59,13,2,6,12,12,2,2015,1, ,3600,1, ,7,5,2, , , , , ,1,2,1,2,2,1,2,1
98,1,39,3,2,4,5,5,1,2018,1, ,3200,3, ,7,4,5, , , , , ,1,2,1,1,2,1,2,1
5,1,42,1,2,5,10,5,1,2015,4,1,2500,3, ,8,1,6,7,3, , , ,1,2,1,2,2,1,2,2
4,1,48,3,2,5,8,8,1,2024,4,1,2500,1, ,7,5,2,3, , , , ,1,2,1,2,2,2,2,2
98,2,41,8,2,5,6,2,1,2020,3, ,2000,1, ,7,3, , , , , , ,2,2,1,1,2,2,2,1
1,1,51,8,2,3,5,4,2,2019,3, ,1600,1, ,7,3,1,5, , , , ,1,2,2,2,2,2,1,2
4,1,47,6,97,1,5,5,1,2017,1, ,2000,1, ,3, , , , , , , ,2,2,1,1,2,1,2,1
3,1,34,1,2,4,99,3,1,2020,1, ,2000,3, ,3,2,5,7, , , , ,2,2,1,1,2,2,2,2
4,1,42,2,2,3,6,4,2,2013,1, ,2000, , ,1,7,3, , , , , ,2,2,1,2,1,2,2,1
4,1,63,1,2,7,6,6,1,2019,1, ,2400,2, ,5,3, , , , , , ,1,1,2,2,2,2,2,1
98,1,28,15,1,7,8,3,2,2023,1, ,1500,1, ,2, , , , , , , ,1,2,2,2,1,2,2,2
98,1,64,8,97,1,3,3,2,2021,1, ,2500,1, ,6, , , , , , , ,2,1,2,2,2,1,1,1
4,1,38,8,1,1,7,7,1,2019,3, ,2000,1, ,3, , , , , , , ,1,1,1,1,2,1,1,1
98,1,42,1,2,5,8,5,1,2020,3, ,2000,3, ,5,3,7,2, , , , ,1,2,1,2,2,1,2,1
3,1,42,8,97,5,4,4,2,2021,1, ,2000,1, ,2, , , , , , , ,1,2,1,2,2,2,2,1
5,1,41,1,1,1,6,6,2,2023,3, ,2000,1, ,1,6,7,3, , , , ,2,2,1,1,1,2,2,1
98,1,45,7,2,5,6,5,2,2022,3, ,2000,3, ,5,3, , , , , , ,1,1,2,2,2,2,2,1
4,1,48,3,2,5,10,5,1,2017,1, ,3000,1, ,4, , , , , , , ,1,1,1,2,1,1,2,2
98,2,42,8,2,5,13,2,2,2024,1, ,2200,3, ,2,4,1,3,5, , , ,2,2,1,1,2,2,2,1
5,1,30,1,1,6,12,3,2,2022,1, ,2000,3, ,7, , , , , , , ,1,2,1,2,2,1,2,2
98,1,48,1,97,5,6,6,1,2018,3, ,2000,3, ,4,7,2,1,5,3, , ,1,1,1,1,2,2,2,1
3,1,32,8,1,1,6,6,2,2019,3, ,1600,1, ,3, , , , , , , ,1,2,2,2,1,2,2,2
98,1,37,7,2,2,13,13,1,2021,5, , , , ,98, , , , , , , ,1,2,1,1,2,2,2,2
98,1,57,4,97,6,99,99,1,2016,1, ,2400,2, ,2,5,3,7, , , , ,1,2,1,2,2,1,1,2
2,1,53,1,97,1,10,10,2,2014,3, ,2000,1, ,6,4,5,1,3,8,7, ,2,2,1,1,2,1,1,1
2,2,34,15,2,4,6,1,2,2019,3, ,3000,1, ,7, , , , , , , ,1,2,1,2,1,2,2,1
2,2,23,4, , , , ,1,2016,3, ,2000,1, ,5, , , , , , , ,2,2,1,2,2,1,2,1
2,1,28,12,1,1,10,10,2,2023,1, ,2000,1, ,1,4, , , , , , ,2,2,1,1,2,2,1,1
98,1,35,8,2,2,7,4,2,2024,1, ,2000,1, ,7,5,3,6, , , , ,2,2,2,2,1,2,2,1
4,1,52,8,2,6,7,7,1,2013,1, ,2400,1, ,3, , , , , , , ,1,1,2,2,2,2,2,1
4,1,42,8,2,5,7,7,1,2018,3, ,2000,1, ,4,3,2,7,5, , , ,2,2,1,1,2,1,2,1
2,1,54,8,2,5,7,7,2,2014,1, ,3000,1, ,3,2, , , , , , ,1,2,1,2,2,1,2,2
98,1,39,8,97,1,99,99,2,2023,1, ,1500,3, ,98, , , , , , , ,1,2,1,1,1,2,2,1
3,1,46,10,2,5,11,5,1,2016,3, ,2000,1, ,1,4, , , , , , ,1,2,1,1,2,1,2,1
98,2,27,12,1,1,99,99,2,2023,1, ,2300,1, ,2,5,3, , , , , ,1,2,2,2,2,2,1,1
98,1,47,1,2,5,5,5,1,2017,3, ,2000,3, ,1,5,8,3,2, , , ,1,2,1,2,2,2,2,1
2,1,47,8,2,5,5,4,2,2019,1, ,2500,1, ,3,5, , , , , , ,1,2,1,2,2,2,2,1
98,1,61,2,2,7,2,2,2,2013,1, ,2000,1, ,4, , , , , , , ,1,2,2,2,2,2,2,1
5,2,60,3,2,7,9,3,1,2013,3, ,2000,1, ,5,7,2, , , , , ,1,2,2,1,2,2,2,1
98,1,30,2,1,6,11,4,2,2023,5, , , , ,4,2,5,1,3, , , ,2,2,1,2,2,1,1,2
98,1,49,6,2,6,3,3,2,2018,3, ,2000,1, ,5, , , , , , , ,1,2,2,1,1,2,2,2
5,1,46,2,2,5,4,4,2,2019,3, ,2000,1, ,3,7, , , , , , ,1,2,2,2,2,2,2,1
98,1,50,1,2,5,9,8,1,2022,5, , , , ,5,4,7,8,1,3, , ,2,2,1,1,2,2,2,1
98,1,47,1,1,1,11,11,2,2022,1, ,2000,1, ,3,5,6,1,7,4, , ,1,1,1,2,2,2,2,1
